#GENE SYNS
SELL	LYAM1,CD62L,hLHRc,LAM1,LAM-1,Leu-8,LSEL,Lyam-1,PLNHR,CD62L,hLHRc,LAM1,LAM-1,Leu-8,LSEL,Lyam-1,PLNHR
SELP	GRMP,CD62,CD62P,GMP140,PADGEM,PSEL
SELPLG	CD162,PSGL-1
SEMA3A	SEMAD,coll-1,Hsema-I,SEMA1,SemD
SEMA3B	SEMAA,LUCA-1,SemA,sema5,semaV
SEMA3C	SEMAE,SemE
SEMA3D	coll-2,Sema-Z2
SEMA3E	SEMAH,coll-5,KIAA0331,M-SemaK
SEMA3F	Sema4,SEMAK
SEMA4A	SEMAB,CORD10,FLJ12287,SemB
BMP6	VGR,VGR1
SEMA4B	SEMAC,KIAA1745,MGC131831,SemC
SEMA4C	SEMAI,Semacl1,Semaf
SEMA4D	SEMAJ,CD100,coll-4,FLJ39737,CD100,coll-4,FLJ39737
SEMA4F	SEMAM,SEMAW
SEMA4G	FLJ20590,KIAA1619
SEMA5A	SEMAF,semF
SEMA5B	SEMAG,FLJ10372,KIAA1445,SemG
SEMA6A	SEMAQ,HT018,KIAA1368,SEMA,SEMA6A1
SEMA6B	SEMAN,SEMA-VIB,semaZ,SEM-SEMA-Y
BMP7	OP-1
SEMA6C	KIAA1869
SEMA7A	SEMAL,CD108,H-Sema-L
SEMG1	SEMG,CT103
SEMG2	SGII
BMP8B	BMP8,OP-2
SEPT3	37865
SELENOP	SEPP1,SELP,SeP,SEPP
SELENOW	SEPW1,SELW
SERF1A	SERF1,4F5,FAM2A,H4F5,SMAM1
SERF1B	FAM2B,H4F5C
SERF2	4F5REL,FAM2C,H4F5rel,HsT17089
SERP1	FLJ43424,RAMP4
BMPR1A	ACVRLK3,ALK3,CD292
SET	2PP2A,IPP2A2,PHAPII
SETDB1	ESET,KG1T,KIAA0067,KMT1E,TDRD21
SETMAR	metnase
SEZ6L	.
SF3A1	Prp21,PRPF21,SAP114,SF3a120
SF3A2	Prp11,PRPF11,SAP62,SF3a66
SF3A3	PRP9,PRPF9,SAP61,SF3a60
SF3B1	Hsh155,Prp10,PRPF10,SAP155,SF3b155
SF3B2	Cus1,SAP145,SF3b1,SF3b145
BMPR1B	ALK6,CDw293
SF3B3	KIAA0017,RSE1,SAP130,SF3b130
SF3B4	Hsh49,SAP49,SF3b49
SFN	YWHAS
SFPQ	PPP1R140,PSF
SFRP1	FRP,FRP-1,SARP2
SFRP2	FRP-2,SARP1,SDF-5
SFRP4	FRP-4,frpHE,FRPHE,FRZB-2
SFRP5	SARP3
BMPR2	PPH1,BMPR3,BMPR-II,BRK-3,T-ALK
SRSF1	SFRS1,ASF,MGC5228,SF2,SF2p33,SRp30a
TRA2B	SFRS10,Htra2-beta,PPP1R156
SRSF11	SFRS11,NET2,p54
SRSF2	SFRS2,PR264,SC35,SC-35,SFRS2A
SCAF11	SRSF2IP,CASP11,SIP1,SRRP129,CASP11,SIP1,SRRP129
SRSF3	SFRS3,SRp20
SRSF4	SFRS4,SRP75
SRSF5	SFRS5,HRS,SRP40
SRSF6	SFRS6,B52,SRP55
SRSF7	SFRS7,9G8,AAG3,HSSG1,RBM37,ZCCHC20,ZCRB2
BMX	ETK,PSCTK3
SFSWAP	SFRS8,SWAP
SRSF9	SFRS9,SRp30c
SFTPA1	SFTP1,COLEC4,SP-A,SP-A1
SFTPA2	COLEC5,SP-A2
ACHE	YT
POLR3D	BN51T,RPC4,TSBN51
SFTPB	SFTP3,SP-B
SFTPC	SFTP2,BRICD6,PSP-C,SMDP2,SP-C
SFTPD	SFTP4,COLEC7,SP-D
SGCA	ADL,A2,adhalin,DMDA2,LGMD2D,SCARMD1
SGCB	LGMD2E,A3b,SGC
SGCD	CMD1L,DAGD,LGMD2F
SGCE	DYT11
SGCG	MAM,A4,DAGA4,DMDA,MGC130048,SCARMD2,SCG3,TYPE,A4,DAGA4,DMDA,MGC130048,SCARMD2,SCG3,TYPE,A4,DAGA4,DMDA,MGC130048,SCARMD2,SCG3,TYPE
BNC1	BNC,HsT19447
SGK1	SGK
SGK3	SGK2,SGKL
SCG5	SGNE1,7B2,SgV
SGPL1	SPL
SGSH	HSS,MPS3A,SFMD
SGTA	SGT
BNIP1	Nip1,SEC20
SH2D1A	LYP,DSHP,EBVS,MTCP1,SAP,XLP,XLPD,DSHP,EBVS,MTCP1,SAP,XLP,XLPD
SH2D2A	F2771,TSAd
SH3BGR	21-GARP
SH3BGRL	MGC117402
SH3BP1	ARHGAP43
SH3BP2	CRBM,RES4-23
SH3BP4	.
SH3BP5	Sab
BNIP2	BNIP-2,Nip2
SH3GL1	CNSA1,EEN,MGC111371,SH3D2B,SH3P8
SH3GL2	CNSA2,EEN-B1,SH3D2A,SH3P4
SH3GL3	CNSA3,EEN-B2,HsT19371,SH3D2C,SH3P13
SH3GLB1	Bif-1,CGI-61,KIAA0491,PPP1R70
SH3GLB2	KIAA1848
SHB	.
SHBG	ABP,MGC126834,MGC138391,TEBG
BNIP3	Nip3
SHC1	SHC,p66,ShcA
SEM1	SHFM1,DSS1,ECD,FLJ42280,Shfdg1,SHSF1,DSS1,ECD,FLJ42280,Shfdg1,SHSF1,DSS1,ECD,FLJ42280,Shfdg1,SHSF1
FBXW4	SHFM3,dactylin,Fbw4
SHH	HPE3,HHG1,MCOPCB5,SMMCI,TPT,TPTPS,HHG1,MCOPCB5,SMMCI,TPT,TPTPS
BNIP3L	BNIP3a,Nix
SHMT1	CSHMT,MGC15229,MGC24556,SHMT
SHMT2	SHMT
SHOX	GCFX,GCFX,PHOG,PHOG,SHOXY,SHOXY,SS,SS
SHOX2	OG12,OG12X,SHOT
SI	.
SIAH1	hSIAH1
SIAH2	.
ST6GAL1	SIAT1
ST6GAL2	SIAT2,KIAA1877,St6gal2,St6GalII
ST3GAL1	SIAT4A,SIATFL,ST3GalA.1,ST3O
ST3GAL2	SIAT4B,ST3GalA.2,ST3GALII
ST3GAL4	SIAT4C,FLJ11867,SAT3,STZ,FLJ11867,SAT3,STZ,FLJ11867,SAT3,STZ,FLJ11867,SAT3,STZ
ST3GAL3	MRT12,SIAT6
ST6GALNAC2	SIATL1,ST6GalNAII,STHM,ST6GalNAII,STHM,ST6GalNAII,STHM
ST8SIA1	SIAT8,SIAT8A
BOK	BCL2L9,BOKL,MGC4631
ST8SIA2	SIAT8B,HsT19690,ST8SIA-II,STX
ST8SIA4	SIAT8D,PST,PST1
ST3GAL5	SIAT9,SIATGM3S,ST3GalV
SIGLEC5	CD33L2,CD170,OB-BP2,SIGLEC-5
SIGLEC6	CD33L1,CD327,OB-BP1,SIGLEC-6,CD327,OB-BP1,SIGLEC-6
SIGLEC7	SIGLECP2,CD328,p75/AIRM1,QA79,SIGLEC-7,CD328,p75/AIRM1,QA79,SIGLEC-7
SIGLEC8	MGC59785,SAF2,SIGLEC-8,SIGLEC8L
SIGLEC9	CD329
STIL	SIL,MCPH7
PMEL	SILV,D12S53E,gp100,Pmel17,SI,D12S53E,gp100,Pmel17,SI
SIM1	bHLHe14
SIM2	SIM,bHLHe15,MGC119447
GEMIN2	SIP1
SIPA1	SPA1
SIRT2	SIR2L
SIX1	DFNA23
SIX2	.
SIX3	HPE2
SIX4	AREC3
SIX5	DMAHP
SIX6	OPTX2,Six9
PRMT5	HRMT1L5,SKB1,SKB1Hs,SKB1Hs
VPS4B	SKD1,SKD1B,VPS4-2
SKI	.
SKIL	SNO,SnoA,SnoN
SKIV2L	SKIV2,170A,DDX13,HLP,SKI2W,SKIV2L1
SKP1	SKP1A,EMC19,MGC34403,OCP2,OCP-II,p19A,TCEB1L
DST	BPAG1,BP240,BPA,CATX-15,FLJ13425,FLJ21489,FLJ30627,FLJ32235,KIAA0728,MACF2
SKP2	FBL1,FBXL1,p45
SLA	hSLAP,SLA1,SLAP,SLAP-1
SLAMF1	SLAM,CD150
SLBP	HBP
SLC10A1	NTCP
SLC10A2	ASBT,ISBT
SLC11A1	NRAMP,NRAMP1
SLC11A2	NRAMP2,DCT1,DMT1
SLC40A1	SLC11A3,FPN1,HFE4,IREG1,MTP1
SLC12A1	NKCC2
SLC12A2	BSC,BSC2,NKCC1,PPP1R141
SLC12A3	NCCT
SLC12A4	KCC1
SLC12A6	ACCPN,KCC3
SLC12A7	DKFZP434F076,KCC4
SLC13A1	NAS1,NaSi-1
SLC13A2	NaDC-1
SLC14A1	JK,HsT1341,RACH1,RACH2
SLC14A2	HUT2,UT2
FOXL2	BPES,BPES1
SLC15A1	HPECT1,HPEPT1,PEPT1
SLC15A2	PEPT2
SLC16A1	MCT,MCT1
SLC16A2	MRX22,MCT7,MCT8,XPCT,MCT7,MCT8,XPCT,MCT7,MCT8,XPCT
SLC16A3	MCT3,MCT4
SLC16A4	MCT4,MCT5
SLC16A5	MCT5,MCT6
SLC16A6	MCT6,MCT7
SLC16A7	MCT2
SLC17A1	NPT1,NAPI-1
BPGM	.
SLC17A2	NPT3
SLC17A3	NPT4
SLC17A4	KIAA2138
SLC17A5	SIASD,AST,ISSD,NSD,SD,SIALIN,SLD
SLC18A1	VAT1,VMAT1,CGAT,CGAT
SLC18A2	VMAT2,SVAT,SVMT
SLC18A3	VACHT
SLC19A1	FOLT,RFC1
SLC19A2	TRMA,THTR1
SLC1A1	EAAC1,EAAT3
BPHL	MCNAA,Bph-rp,VACVase
SLC1A2	EAAT2,GLT-1
SLC1A3	EA6,EAAT1,GLAST
SLC1A4	ASCT1,SATT
SLC1A5	RDRC,AAAT,ASCT2,AAAT,ASCT2
SLC1A6	EAAT4
SLC1A7	EAAT5
SLC20A1	GLVR1,Glvr-1,PiT-1
SLC20A2	MLVAR,Glvr-2,PiT-2,Ram-1,Glvr-2,PiT-2,Ram-1
BPI	BPIFD1
SLCO3A1	SLC21A11,OATP3A1,OATP-D
SLCO4A1	SLC21A12,OATP4A1,OATP-E
SLCO2A1	SLC21A2,OATP2A1,PGT,OATP2A1,PGT
SLCO1A2	SLC21A3,OATP,OATP1A2,OATP-A
SLCO1B1	SLC21A6,LST-1,OATP1B1,OATP-C
BPNT1	.
SLCO1B3	SLC21A8,OATP1B3,OATP8
SLCO2B1	SLC21A9,OATP2B1,OATP-B
SLC22A1	Oct-01
SLC22A18	SLC22A1L,BWR1A,ITM,TSSC5,BWR1A,ITM,TSSC5,BWR1A,ITM,TSSC5,BWR1A,ITM,TSSC5
SLC22A18AS	SLC22A1LS,BWR1B,p27-BWR1B,BWR1B,p27-BWR1B,BWR1B,p27-BWR1B
SLC22A2	Oct-02
SLC22A3	37895,EMT
SLC22A4	DFNB60,MGC34546,OCTN1
SLC22A5	CDSP,OCTN2,SCD
BRAF	BRAF1
SLC22A6	OAT1,PAHT,ROAT1
SLC22A7	NLT,OAT2
SLC22A8	OAT3
SLC23A2	SLC23A1,KIAA0238,SVCT2,YSPL2
SLC23A1	SLC23A2,SVCT1,YSPL3
